code,name,sector_theme,technical_score,fundamental_score,valuation_score,capital_flow_score,news_risk_score,sector_heat_score,total_score,ranking_score,ranking_penalty,quality_score,data_confidence,model_confidence,historical_win_rate,decision_confidence,signal_grade,estimated_win_rate,position_suggestion,available_factor_count,missing_factor_count,score_confidence,top10_eligible,missing_factors,rank
300308,中际旭创,AI算力,71.1,100.0,45.0,20.98,85.0,85.0,67.87,72.29,0.0,82.75,100.0,52.25,18,60,C,18,0%-5%,6,0,高,True,[],1
603986,兆易创新,存储芯片,61.1,100.0,45.0,17.17,57.0,85.0,63.59,65.79,0.0,71.75,100.0,39.11,25,57,C,25,0%-5%,6,0,高,True,[],2
300223,北京君正,存储芯片,67.1,60.0,55.0,77.54,85.0,85.0,68.58,63.53,4.0,67.75,80.0,73.29,14,61,B,14,5%-10%,6,0,高,True,[],3
002156,通富微电,先进封装,68.1,60.0,55.0,4.71,57.0,80.0,59.6,61.53,0.0,67.0,100.0,42.68,3,53,C,3,0%-5%,6,0,高,True,[],4
002371,北方华创,先进封装,63.1,60.0,45.0,50.0,85.0,80.0,57.77,58.47,0.0,58.0,100.0,65.82,11,64,B,11,5%-10%,6,0,高,True,[],5
688008,澜起科技,存储芯片,55.1,100.0,35.0,7.23,85.0,85.0,51.0,57.01,0.0,66.75,100.0,44.02,12,56,C,12,0%-5%,6,0,高,True,[],6
000063,中兴通讯,AI算力,68.4,14.0,71.0,56.71,85.0,85.0,58.17,54.78,0.0,46.25,100.0,62.15,26,66,B,26,5%-10%,6,0,高,True,[],7
600584,长电科技,存储芯片,61.1,60.0,45.0,4.71,85.0,85.0,48.75,53.0,0.0,56.25,100.0,48.51,43,65,C,43,0%-5%,6,0,高,True,[],8
688041,海光信息,AI算力,34.7,60.0,35.0,70.42,85.0,85.0,42.22,50.13,0.0,57.75,100.0,55.75,38,67,D,38,0%,6,0,高,True,[],9
600905,三峡能源,能源电力,47.3,,,44.92,85.0,80.0,60.0,25.42,34.0,61.5,66.67,53.88,36,49,D,36,0%,4,2,低,False,"['fundamental_score', 'valuation_score']",11
300750,宁德时代,能源电力,38.1,,,6.43,85.0,80.0,50.7,20.21,34.0,61.5,66.67,35.27,41,48,D,41,0%,4,2,低,False,"['fundamental_score', 'valuation_score']",12
600406,国电南瑞,AI算力,23.6,,,15.0,85.0,85.0,47.75,18.95,34.0,62.25,66.67,31.65,92,49,D,59,0%,4,2,低,False,"['fundamental_score', 'valuation_score']",13
